,gt_label,gt_rank,gt_score,top1_label,top1_score,score_gap,image_path,difficulty
9,9,1,29.806514739990234,7,29.812889099121094,0.006374359130859375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/369.jpg,medium
22,9,1,31.188663482666016,4,31.192644119262695,0.0039806365966796875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/436.jpg,medium
28,9,0,29.27553367614746,9,29.27553367614746,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/501.jpg,medium
35,9,2,29.82667350769043,4,30.603620529174805,0.776947021484375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/682.jpg,medium
36,9,1,30.65546989440918,14,30.79452133178711,0.1390514373779297,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/544.jpg,medium
40,9,1,31.144418716430664,4,31.980579376220703,0.8361606597900391,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/270.jpg,medium
53,9,1,31.210407257080078,5,31.419891357421875,0.20948410034179688,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/189.jpg,medium
56,9,1,31.299501419067383,4,31.60018539428711,0.30068397521972656,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/717.jpg,medium
78,9,1,31.070663452148438,0,31.549814224243164,0.47915077209472656,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/577.jpg,medium
92,9,1,31.78894805908203,4,32.17165756225586,0.3827095031738281,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/067.jpg,medium
99,9,1,30.94040298461914,14,31.13233757019043,0.19193458557128906,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/176.jpg,medium
100,9,1,31.255491256713867,4,32.00601577758789,0.7505245208740234,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/279.jpg,medium
