,gt_label,gt_rank,gt_score,top1_label,top1_score,score_gap,image_path,difficulty,scale_score
0,9,0,31.270530700683594,9,31.270530700683594,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/623.jpg,soft,0.10351252414684349
4,9,0,30.632116317749023,9,30.632116317749023,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/029.jpg,soft,0.13147712306016734
12,9,0,33.15323257446289,9,33.15323257446289,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/785.jpg,soft,0.077557959711939
24,9,3,29.42984962463379,12,30.129125595092773,0.6992759704589844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/355.jpg,hard,0.048020889867191496
34,9,0,33.06742477416992,9,33.06742477416992,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/646.jpg,soft,0.1376247493433249
35,9,2,29.82667350769043,4,30.603620529174805,0.776947021484375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/682.jpg,medium,0.0958293881250844
41,9,0,31.593074798583984,9,31.593074798583984,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/182.jpg,soft,0.07141875498171349
45,9,0,33.69654846191406,9,33.69654846191406,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/094.jpg,soft,0.1266255154709237
55,9,0,33.6919059753418,9,33.6919059753418,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/476.jpg,soft,0.09227840539908441
63,9,0,31.69858741760254,9,31.69858741760254,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/626.jpg,soft,0.11389675204545821
64,9,0,32.2930908203125,9,32.2930908203125,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/425.jpg,soft,0.12367466238515343
