,gt_label,gt_rank,gt_score,top1_label,top1_score,score_gap,image_path,difficulty
0,9,0,31.270530700683594,9,31.270530700683594,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/623.jpg,soft
1,9,0,33.5255126953125,9,33.5255126953125,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/764.jpg,soft
2,9,0,31.196834564208984,9,31.196834564208984,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/771.jpg,soft
3,9,0,30.941232681274414,9,30.941232681274414,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/208.jpg,soft
4,9,0,30.632116317749023,9,30.632116317749023,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/029.jpg,soft
5,9,0,33.16339111328125,9,33.16339111328125,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/473.jpg,soft
6,9,0,34.2974853515625,9,34.2974853515625,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/014.jpg,soft
7,9,0,33.65275573730469,9,33.65275573730469,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/333.jpg,soft
8,9,0,32.7408561706543,9,32.7408561706543,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/537.jpg,soft
10,9,0,30.607696533203125,9,30.607696533203125,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/654.jpg,soft
11,9,0,34.01500701904297,9,34.01500701904297,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/275.jpg,soft
12,9,0,33.15323257446289,9,33.15323257446289,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/785.jpg,soft
13,9,0,31.930862426757812,9,31.930862426757812,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/212.jpg,soft
14,9,0,30.90883445739746,9,30.90883445739746,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/239.jpg,soft
15,9,0,32.85306930541992,9,32.85306930541992,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/792.jpg,soft
16,9,0,33.13689041137695,9,33.13689041137695,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/150.jpg,soft
17,9,0,35.190467834472656,9,35.190467834472656,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/109.jpg,soft
